"trans","ko"
"TRINITY_DN8722_c0_g1_i1","ko:K06689"
"TRINITY_DN7858_c0_g1_i1","ko:K02437"
"TRINITY_DN8396_c0_g1_i1","ko:K02956"
"TRINITY_DN6867_c0_g2_i1","ko:K03058"
"TRINITY_DN6867_c0_g1_i1","ko:K03058"
"TRINITY_DN2148_c0_g1_i1","ko:K14455"
"TRINITY_DN9105_c0_g1_i1","ko:K08056"
"TRINITY_DN9456_c0_g1_i1","ko:K07898"
"TRINITY_DN9456_c0_g1_i1","ko:K07900"
"TRINITY_DN8739_c0_g1_i1","ko:K00799"
"TRINITY_DN8413_c0_g2_i1","ko:K07839"
"TRINITY_DN820_c1_g1_i1","ko:K07839"
"TRINITY_DN9326_c0_g2_i2","ko:K02996"
"TRINITY_DN7232_c0_g1_i1","ko:K01802"
"TRINITY_DN10499_c0_g1_i1","ko:K01551"
"TRINITY_DN8962_c1_g1_i1","ko:K03250"
"TRINITY_DN102_c0_g1_i1","ko:K13176"
"TRINITY_DN102_c0_g2_i1","ko:K13176"
"TRINITY_DN8615_c0_g1_i1","ko:K03247"
"TRINITY_DN25049_c0_g1_i1","ko:K11884"
"TRINITY_DN8192_c0_g2_i1","ko:K16344"
"TRINITY_DN8192_c0_g2_i2","ko:K16344"
"TRINITY_DN5787_c0_g1_i1","ko:K20399"
"TRINITY_DN1437_c0_g1_i1","ko:K03251"
"TRINITY_DN7118_c0_g1_i1","ko:K16794"
"TRINITY_DN9529_c2_g1_i1","ko:K12314"
"TRINITY_DN8899_c0_g1_i1","ko:K02965"
"TRINITY_DN20327_c0_g1_i1","ko:K00332"
"TRINITY_DN7322_c0_g1_i1","ko:K00334"
"TRINITY_DN4111_c0_g1_i1","ko:K03262"
"TRINITY_DN20798_c0_g1_i1","ko:K02151"
"TRINITY_DN8933_c0_g1_i2","ko:K07938"
"TRINITY_DN6772_c0_g1_i1","ko:K07938"
"TRINITY_DN25356_c0_g1_i1","ko:K07938"
"TRINITY_DN6772_c0_g2_i1","ko:K07938"
"TRINITY_DN8446_c0_g1_i1","ko:K07938"
"TRINITY_DN8933_c0_g1_i1","ko:K07938"
"TRINITY_DN9122_c0_g1_i1","ko:K07938"
"TRINITY_DN19218_c0_g1_i1","ko:K07938"
"TRINITY_DN820_c1_g1_i1","ko:K07838"
"TRINITY_DN8413_c0_g2_i1","ko:K07838"
"TRINITY_DN7006_c0_g1_i1","ko:K09398"
"TRINITY_DN2799_c0_g1_i1","ko:K09398"
"TRINITY_DN9427_c1_g1_i1","ko:K09455"
"TRINITY_DN9529_c2_g1_i1","ko:K12315"
"TRINITY_DN8517_c0_g1_i1","ko:K07856"
"TRINITY_DN8588_c0_g1_i2","ko:K07856"
"TRINITY_DN8588_c0_g1_i1","ko:K07856"
"TRINITY_DN8446_c0_g1_i1","ko:K06883"
"TRINITY_DN6772_c0_g1_i1","ko:K06883"
"TRINITY_DN8933_c0_g1_i1","ko:K06883"
"TRINITY_DN25356_c0_g1_i1","ko:K06883"
"TRINITY_DN8933_c0_g1_i2","ko:K06883"
"TRINITY_DN9122_c0_g1_i1","ko:K06883"
"TRINITY_DN6772_c0_g2_i1","ko:K06883"
"TRINITY_DN19218_c0_g1_i1","ko:K06883"
"TRINITY_DN28453_c0_g1_i1","ko:K02901"
"TRINITY_DN8517_c0_g1_i1","ko:K07975"
"TRINITY_DN9576_c0_g1_i1","ko:K00643"
"TRINITY_DN2767_c0_g1_i1","ko:K10580"
"TRINITY_DN6741_c0_g1_i1","ko:K11495"
"TRINITY_DN28548_c0_g1_i1","ko:K11495"
"TRINITY_DN9383_c0_g1_i1","ko:K14758"
"TRINITY_DN2113_c0_g1_i1","ko:K11827"
"TRINITY_DN9375_c0_g1_i1","ko:K05759"
"TRINITY_DN9375_c0_g1_i3","ko:K05759"
"TRINITY_DN9375_c0_g1_i2","ko:K05759"
"TRINITY_DN10954_c0_g1_i1","ko:K00933"
"TRINITY_DN9647_c0_g1_i2","ko:K00933"
"TRINITY_DN7512_c0_g1_i1","ko:K06704"
"TRINITY_DN19705_c0_g1_i1","ko:K22069"
"TRINITY_DN9413_c0_g1_i1","ko:K00522"
"TRINITY_DN19218_c0_g1_i1","ko:K07939"
"TRINITY_DN7306_c1_g2_i1","ko:K04505"
"TRINITY_DN7306_c1_g1_i1","ko:K04505"
